"lat","lon","sst","bathy","bathyrms","slope","aspect","chl","uy10","wekm","eke","sshd","month"
30,225,19.8971424103,-4878.5,145.013092041,47.4773826599,221.058303833,0.0659999996424,-4.04480886459,4.32562785591e-07,0.00572173705245068,0.0495828986168,6
30,225.25,19.7800006866,-4846,138.031570435,43.7139816284,190.444335938,0.067571438849,-4.15169906616,1.56927171702e-07,0.00572173705245068,0.0495828986168,6
30,225.5,19.607000351,-4736.625,88.0772781372,21.3353748322,207.951705933,0.066000007093,-4.17180252075,1.51854678165e-07,0.00400227203894148,0.0110806999728,6
30,225.75,19.5666656494,-4678.5,91.305519104,22.980342865,159.063781738,0.0616999976337,-4.86483240128,9.15964790238e-07,0.00400227203894148,0.0110806999728,6
30,226,19.5750007629,-4639,66.5262680054,37.1087341309,183.146499634,0.062333330512,-4.73688650131,6.23053892923e-07,0.000802079086766884,-0.013293299824,6
30,226.25,19.5314292908,-4633.25,95.7761764526,34.1384353638,180.704269409,0.0668181851506,-4.79291391373,6.23053892923e-07,0.000802079086766884,-0.013293299824,6
30,226.5,19.59375,-4668,69.8881378174,30.5577659607,185.981842041,0.0689999982715,-5.02810621262,1.18323362219e-09,0.000128145528930125,-0.0202872995287,6
30,226.75,19.5437507629,-4541,179.258911133,29.9718666077,209.617599487,0.0649999976158,-5.03052759171,1.56685871389e-07,0.000128145528930125,-0.0202872995287,6
30,227,19.7400016785,-4500,67.9315719604,28.802280426,183.080184937,0.0632500052452,-5.01039361954,-1.27376850401e-07,0.000109477379192764,-0.0188295003027,6
30,227.25,19.8924999237,-4555,85.0305709839,30.0104179382,123.408676147,0.0636000037193,-4.9514541626,-1.55999725848e-06,0.000109477379192764,-0.0188295003027,6
30,227.5,19.9620857239,-4675,100.926628113,32.0218887329,131.51763916,0.066000007093,-5.38009023666,-1.55999725848e-06,0.000324727008997915,-0.00276202009991,6
30,227.75,19.6933345795,-4638,87.2505569458,31.1144714355,247.003677368,0.0653750002384,-5.56281518936,6.15544308857e-07,0.000324727008997915,-0.00276202009991,6
30,228,19.2000007629,-4579.25,96.4556427002,29.9217395782,199.912200928,0.0651666671038,-5.64607810974,-3.86427849719e-08,0.000308962861386039,0.0180923994631,6
30,228.25,18.8439998627,-4529,68.4059524536,36.3731155396,191.512985229,0.0648000016809,-5.70310783386,-7.08769391622e-07,0.000308962861386039,0.0180923994631,6
30,228.5,18.7828559875,-4551.375,102.939476013,40.22133255,160.027893066,0.0587499961257,-5.66705560684,-1.25258281969e-06,0.000246904985759919,0.0305573008955,6
30,228.75,18.7399997711,-4624.75,179.774307251,47.693069458,167.891387939,0.0564999990165,-5.96041154861,-3.04508125737e-06,0.000246904985759919,0.0305573008955,6
30,229,18.6737499237,-4679.25,136.254135132,51.3180389404,171.28074646,0.0596666671336,-6.18501138687,-4.75712613479e-06,0.00142608104521195,0.0194070003927,6
30,229.25,18.4087486267,-4684.25,77.6309280396,42.8297271729,166.362915039,0.0605000033975,-6.20609855652,-3.04508125737e-06,0.00142608104521195,0.0194070003927,6
30,229.5,18.2425003052,-4671,122.068191528,42.1747589111,180.69984436,0.0622499994934,-6.33780622482,-2.65013932221e-06,0.00429242811872682,-0.00936836004257,6
30,229.75,18.2024993896,-4673,100.312065125,52.687538147,170.428741455,0.0652142837644,-6.54634952545,-1.30361706852e-06,0.00429242811872682,-0.00936836004257,6
30,230,18.1329994202,-4652.5,189.433181763,69.1326828003,175.50604248,0.0667999982834,-6.2117767334,-1.30361706852e-06,0.00766728103090694,-0.0239262003452,6
30,230.25,18.0883331299,-4655,232.312332153,50.1552581787,167.24710083,0.0675714239478,-6.10932159424,-7.97817449438e-07,0.00766728103090694,-0.0239262003452,6
30,230.5,18.0916652679,-4665.5,86.9419937134,34.7034454346,193.818237305,0.0631666705012,-6.17728185654,-2.21284403779e-06,0.00864190573892815,-0.025969600305,6
30,230.75,18.1550006866,-4609.75,102.841041565,31.4456653595,231.295196533,0.0604999996722,-6.60740613937,3.48041993448e-07,0.00864190573892815,-0.025969600305,6
30,231,18.1262512207,-4610.25,193.981506348,48.7654418945,188.004928589,0.0614999979734,-6.42702579498,3.48041993448e-07,0.00391712436758079,-0.0159291997552,6
30,231.25,18.031999588,-4598,260.392364502,56.4363327026,217.737747192,0.0705000013113,-6.30457639694,-1.31238095946e-06,0.00391712436758079,-0.0159291997552,6
30,231.5,18.0460014343,-4541.5,91.0268859863,28.3652687073,176.12588501,0.10300000757,-6.24689435959,-1.31238095946e-06,0.0018958243865059,-0.0040421099402,6
30,231.75,17.8530006409,-4527.5,84.7870864868,27.7212905884,179.540512085,0.0886250063777,-6.1847319603,-7.52013875172e-07,0.0018958243865059,-0.0040421099402,6
30,232,17.7912502289,-4510,123.138305664,31.9521942139,191.307769775,0.0584444478154,-6.37826395035,-1.94956510313e-06,0.00190995639570707,-0.00730422977358,6
30,232.25,17.6737480164,-4434.25,89.2794494629,30.4932937622,223.850082397,0.0705714300275,-6.84660196304,1.11550446036e-06,0.00190995639570707,-0.00730422977358,6
30,232.5,17.5650005341,-4364,191.412887573,38.2405929565,163.10534668,0.0730000063777,-6.80217027664,3.6880155676e-06,0.00141317836716523,-0.0299939997494,6
30,232.75,17.4549999237,-4369.75,85.9907608032,36.8751678467,174.984481812,0.0777499973774,-6.88921785355,7.66768607718e-07,0.00141317836716523,-0.0299939997494,6
30,233,17.5,-4369.5,73.0627212524,36.4124221802,197.920684814,0.0790000036359,-6.36517477036,7.66768607718e-07,0.000682986568262386,-0.0527980998158,6
