"bathy" "longitude" "latitude"
"6035" -4218 235 30.5
"6036" -4264 235.25 30.5
"6037" -4257 235.5 30.5
"6038" -4213 235.75 30.5
"6039" -4210 236 30.5
"6040" -4176.5 236.25 30.5
"6041" -4116 236.5 30.5
"6042" -4061 236.75 30.5
"6043" -4118.75 237 30.5
"6044" -4031.5 237.25 30.5
"6045" -4058.5 237.5 30.5
"6046" -4157 237.75 30.5
"6047" -4113.75 238 30.5
"6048" -3892.5 238.25 30.5
"6049" -3928.25 238.5 30.5
"6050" -3867 238.75 30.5
"6051" -3867 239 30.5
"6052" -3864.25 239.25 30.5
"6053" -3900.5 239.5 30.5
"6054" -3920.5 239.75 30.5
"6055" -3904 240 30.5
"6056" -3941.75 240.25 30.5
"6057" -3817.75 240.5 30.5
"6058" -3646.5 240.75 30.5
"6059" -3492 241 30.5
"6060" -3196 241.25 30.5
"6061" -3034 241.5 30.5
"6062" -2968.375 241.75 30.5
"6063" -2762.125 242 30.5
"6064" -2505 242.25 30.5
"6065" -2259.75 242.5 30.5
"6066" -2193.5 242.75 30.5
"6067" -2077.5 243 30.5
"6068" -2082 243.25 30.5
"6069" -1592 243.5 30.5
"6070" -675.625 243.75 30.5
"6071" NA 244 30.5
"6072" NA 244.25 30.5
"6073" NA 244.5 30.5
"6074" NA 244.75 30.5
"6075" NA 245 30.5
"5914" -4750 225 30.75
"5915" -4745 225.25 30.75
"5916" -4715.5 225.5 30.75
"5917" -4690 225.75 30.75
"5918" -4666 226 30.75
"5919" -4584.25 226.25 30.75
"5920" -4632 226.5 30.75
"5921" -4623.75 226.75 30.75
"5922" -4660.25 227 30.75
"5923" -4726.5 227.25 30.75
"5924" -4719.5 227.5 30.75
"5925" -4734.125 227.75 30.75
"5926" -4782.5 228 30.75
"5927" -4696 228.25 30.75
"5928" -4618.25 228.5 30.75
"5929" -4618 228.75 30.75
"5930" -4649 229 30.75
"5931" -4675.25 229.25 30.75
"5932" -4671.625 229.5 30.75
"5933" -4628.5 229.75 30.75
"5934" -4640.375 230 30.75
"5935" -4611.25 230.25 30.75
"5936" -4574.5 230.5 30.75
"5937" -4572 230.75 30.75
"5938" -4524.625 231 30.75
"5939" -4480 231.25 30.75
"5940" -4439.75 231.5 30.75
"5941" -4417.875 231.75 30.75
"5942" -4332 232 30.75
"5943" -4262.75 232.25 30.75
"5944" -4227.25 232.5 30.75
"5945" -4220.5 232.75 30.75
"5946" -4255.5 233 30.75
"5947" -4307 233.25 30.75
"5948" -4379 233.5 30.75
"5949" -4322 233.75 30.75
"5950" -4306.75 234 30.75
"5951" -4247.5 234.25 30.75
"5952" -4210.5 234.5 30.75
"5953" -4207.5 234.75 30.75
"5954" -4237.125 235 30.75
"5955" -4254.5 235.25 30.75
"5956" -4228 235.5 30.75
"5957" -4168.25 235.75 30.75
"5958" -4168 236 30.75
"5959" -4090 236.25 30.75
"5960" -4046 236.5 30.75
"5961" -3992.25 236.75 30.75
"5962" -4110 237 30.75
"5963" -4125 237.25 30.75
"5964" -4091.25 237.5 30.75
"5965" -4161 237.75 30.75
"5966" -4156.625 238 30.75
"5967" -4122.125 238.25 30.75
"5968" -4030.75 238.5 30.75
"5969" -3931.5 238.75 30.75
"5970" -3886.5 239 30.75
"5971" -3849.5 239.25 30.75
"5972" -3879.5 239.5 30.75
"5973" -3897.5 239.75 30.75
"5974" -3826.25 240 30.75
"5975" -3807.25 240.25 30.75
"5976" -3737.75 240.5 30.75
"5977" -3672 240.75 30.75
"5978" -3292 241 30.75
"5979" -2934 241.25 30.75
"5980" -2726.5 241.5 30.75
"5981" -2503.75 241.75 30.75
"5982" -1994.625 242 30.75
"5983" -1881.25 242.25 30.75
"5984" -1800 242.5 30.75
"5985" -1762 242.75 30.75
"5986" -1940 243 30.75
"5987" -1990.5 243.25 30.75
"5988" -943.125 243.5 30.75
"5989" -62 243.75 30.75
"5990" NA 244 30.75
"5991" NA 244.25 30.75
"5992" NA 244.5 30.75
"5993" NA 244.75 30.75
"5994" NA 245 30.75
"5833" -4695 225 31
"5834" -4695 225.25 31
"5835" -4723.5 225.5 31
"5836" -4739.875 225.75 31
"5837" -4699.5 226 31
"5838" -4637 226.25 31
"5839" -4646 226.5 31
"5840" -4660.75 226.75 31
"5841" -4663.25 227 31
"5842" -4685 227.25 31
"5843" -4715 227.5 31
"5844" -4779.75 227.75 31
"5845" -4801.5 228 31
"5846" -4815.25 228.25 31
"5847" -4733 228.5 31
"5848" -4694 228.75 31
"5849" -4670 229 31
"5850" -4688.5 229.25 31
"5851" -4682 229.5 31
"5852" -4661.75 229.75 31
"5853" -4656.5 230 31
"5854" -4613 230.25 31
"5855" -4561.625 230.5 31
"5856" -4515.25 230.75 31
"5857" -4490 231 31
"5858" -4460.5 231.25 31
"5859" -4428.5 231.5 31
"5860" -4403.5 231.75 31
"5861" -4316 232 31
"5862" -4272 232.25 31
"5863" -4243 232.5 31
"5864" -4217.25 232.75 31
"5865" -4235.5 233 31
"5866" -4309.25 233.25 31
"5867" -4377 233.5 31
"5868" -4332.625 233.75 31
"5869" -4294 234 31
"5870" -4296 234.25 31
"5871" -4250.75 234.5 31
"5872" -4186.25 234.75 31
"5873" -4221.75 235 31
"5874" -4257 235.25 31
"5875" -4188.5 235.5 31
"5876" -4154.75 235.75 31
"5877" -4140 236 31
"5878" -4096.625 236.25 31
"5879" -4065.375 236.5 31
"5880" -4062.5 236.75 31
"5881" -4084.875 237 31
"5882" -4100 237.25 31
"5883" -4114.75 237.5 31
"5884" -4123.75 237.75 31
"5885" -4120 238 31
"5886" -4099.75 238.25 31
"5887" -4040 238.5 31
"5888" -3951 238.75 31
"5889" -3947.875 239 31
"5890" -3866.75 239.25 31
"5891" -3855 239.5 31
"5892" -3888 239.75 31
"5893" -3765.625 240 31
"5894" -3654 240.25 31
"5895" -3661.75 240.5 31
"5896" -3668.125 240.75 31
"5897" -3448.5 241 31
"5898" -2719.5 241.25 31
"5899" -2018 241.5 31
"5900" -1778 241.75 31
"5901" -1686.5 242 31
"5902" -1761 242.25 31
"5903" -1827.25 242.5 31
"5904" -1861.75 242.75 31
"5905" -1911.25 243 31
"5906" -1532.75 243.25 31
"5907" -207.5 243.5 31
"5908" NA 243.75 31
"5909" NA 244 31
"5910" NA 244.25 31
"5911" NA 244.5 31
"5912" NA 244.75 31
"5913" NA 245 31
"5752" -4688.25 225 31.25
"5753" -4610 225.25 31.25
"5754" -4646 225.5 31.25
"5755" -4691 225.75 31.25
"5756" -4706 226 31.25
"5757" -4671 226.25 31.25
"5758" -4668 226.5 31.25
"5759" -4688.5 226.75 31.25
"5760" -4685 227 31.25
"5761" -4653 227.25 31.25
"5762" -4677.75 227.5 31.25
"5763" -4734.125 227.75 31.25
"5764" -4751 228 31.25
"5765" -4716.5 228.25 31.25
"5766" -4626 228.5 31.25
"5767" -4596 228.75 31.25
"5768" -4559.75 229 31.25
"5769" -4636.5 229.25 31.25
"5770" -4684 229.5 31.25
"5771" -4642.75 229.75 31.25
"5772" -4578 230 31.25
"5773" -4542 230.25 31.25
"5774" -4456 230.5 31.25
"5775" -4458 230.75 31.25
"5776" -4441.5 231 31.25
"5777" -4411.125 231.25 31.25
"5778" -4389 231.5 31.25
"5779" -4361 231.75 31.25
"5780" -4308.5 232 31.25
"5781" -4286 232.25 31.25
"5782" -4234.375 232.5 31.25
"5783" -4196.5 232.75 31.25
"5784" -4200.5 233 31.25
"5785" -4240.5 233.25 31.25
"5786" -4262 233.5 31.25
"5787" -4269.75 233.75 31.25
"5788" -4278.375 234 31.25
"5789" -4295 234.25 31.25
"5790" -4262.5 234.5 31.25
"5791" -4181.25 234.75 31.25
"5792" -4236 235 31.25
"5793" -4201.25 235.25 31.25
"5794" -4143 235.5 31.25
"5795" -4133 235.75 31.25
"5796" -4136.125 236 31.25
"5797" -4104.375 236.25 31.25
"5798" -4101.5 236.5 31.25
"5799" -4089 236.75 31.25
"5800" -4092 237 31.25
"5801" -4081.875 237.25 31.25
"5802" -4075 237.5 31.25
"5803" -4069.5 237.75 31.25
"5804" -4075.5 238 31.25
"5805" -4067.25 238.25 31.25
"5806" -3987.625 238.5 31.25
"5807" -3888.5 238.75 31.25
"5808" -3927 239 31.25
"5809" -3905 239.25 31.25
"5810" -3859 239.5 31.25
"5811" -3875 239.75 31.25
"5812" -3794.625 240 31.25
"5813" -3707.625 240.25 31.25
"5814" -3669 240.5 31.25
"5815" -3641.25 240.75 31.25
"5816" -2336 241 31.25
"5817" -1384 241.25 31.25
"5818" -1617 241.5 31.25
"5819" -1710.375 241.75 31.25
"5820" -1641 242 31.25
"5821" -1907 242.25 31.25
"5822" -1944.375 242.5 31.25
"5823" -1693.625 242.75 31.25
"5824" -1334.625 243 31.25
"5825" -965 243.25 31.25
"5826" -81.5 243.5 31.25
"5827" NA 243.75 31.25
"5828" NA 244 31.25
"5829" NA 244.25 31.25
"5830" NA 244.5 31.25
"5831" NA 244.75 31.25
"5832" NA 245 31.25
"5671" -4702.625 225 31.5
"5672" -4613.5 225.25 31.5
"5673" -4636.5 225.5 31.5
"5674" -4663 225.75 31.5
"5675" -4684.5 226 31.5
"5676" -4684 226.25 31.5
"5677" -4671 226.5 31.5
"5678" -4708.25 226.75 31.5
"5679" -4690.5 227 31.5
"5680" -4635.5 227.25 31.5
"5681" -4624 227.5 31.5
"5682" -4601.5 227.75 31.5
"5683" -4598 228 31.5
"5684" -4578 228.25 31.5
"5685" -4554 228.5 31.5
"5686" -4545.5 228.75 31.5
"5687" -4552.5 229 31.5
"5688" -4595.5 229.25 31.5
"5689" -4638 229.5 31.5
"5690" -4626 229.75 31.5
"5691" -4571.375 230 31.5
"5692" -4529.125 230.25 31.5
"5693" -4427.25 230.5 31.5
"5694" -4386.375 230.75 31.5
"5695" -4340 231 31.5
"5696" -4325.625 231.25 31.5
"5697" -4295 231.5 31.5
"5698" -4277 231.75 31.5
"5699" -4290 232 31.5
"5700" -4301.25 232.25 31.5
"5701" -4326 232.5 31.5
"5702" -4251 232.75 31.5
"5703" -4214.25 233 31.5
"5704" -4268.75 233.25 31.5
"5705" -4274 233.5 31.5
"5706" -4284.75 233.75 31.5
"5707" -4323.5 234 31.5
"5708" -4285.5 234.25 31.5
"5709" -4246.5 234.5 31.5
"5710" -4171.5 234.75 31.5
"5711" -4240 235 31.5
"5712" -4232.375 235.25 31.5
"5713" -4224.5 235.5 31.5
"5714" -4165 235.75 31.5
