"lat","lon","sst","bathy","bathyrms","slope","aspect","chl","uy10","wekm","eke","sshd"
30,230,17.7460002899,-4652.5,189.433181763,69.1326828003,175.50604248,0.0925000011921,-4.4869594574,-9.78729417511e-07,0.00372667167718041,-0.00640984997153
30,230.25,17.6949996948,-4655,232.312332153,50.1552581787,167.24710083,0.0937777757645,-4.68760633469,-7.61361434343e-07,0.00372667167718041,-0.00640984997153
30,230.5,17.4912490845,-4665.5,86.9419937134,34.7034454346,193.818237305,0.0961428657174,-4.55822515488,-7.01582450802e-07,0.00455365836930885,0.00922533031553
30,230.75,17.3241653442,-4609.75,102.841041565,31.4456653595,231.295196533,0.097800001502,-4.60173225403,-7.01582450802e-07,0.00455365836930885,0.00922533031553
30,231,17.2889995575,-4610.25,193.981506348,48.7654418945,188.004928589,0.097999997437,-4.75415086746,-2.41893030761e-06,0.00333385979735137,0.0172565001994
30,231.25,17.3462505341,-4598,260.392364502,56.4363327026,217.737747192,0.0986000001431,-4.47707462311,-2.41893030761e-06,0.00333385979735137,0.0172565001994
30,231.5,17.2725009918,-4541.5,91.0268859863,28.3652687073,176.12588501,0.101199999452,-4.35143995285,1.09171912754e-06,0.00286699267106516,0.0181453004479
30,231.75,17.0450000763,-4527.5,84.7870864868,27.7212905884,179.540512085,0.101000003517,-4.45695638657,-2.93699258691e-07,0.00286699267106516,0.0181453004479
30,232,16.9783325195,-4510,123.138305664,31.9521942139,191.307769775,0.100333333015,-4.26797199249,-2.44521947934e-06,0.00337833806098207,0.0182105991989
30,232.25,16.9750003815,-4434.25,89.2794494629,30.4932937622,223.850082397,0.100833334029,-4.64753866196,-2.98443501379e-06,0.00337833806098207,0.0182105991989
30,232.5,16.9312496185,-4364,191.412887573,38.2405929565,163.10534668,0.104000009596,-4.84436178207,-2.86178419628e-06,0.00526581056579383,-0.00729343015701
30,232.75,16.8633327484,-4369.75,85.9907608032,36.8751678467,174.984481812,0.114199995995,-4.65036153793,-9.18674288641e-07,0.00526581056579383,-0.00729343015701
30,233,16.7849998474,-4369.5,73.0627212524,36.4124221802,197.920684814,0.130250021815,-4.50774526596,5.91263244587e-07,0.00662444999599348,-0.0622521005571
30,233.25,16.6175003052,-4334.75,157.028762817,36.3572769165,212.574203491,0.134000003338,-4.89816045761,-4.73937774359e-07,0.00662444999599348,-0.0622521005571
30,233.5,16.6463317871,-4347.5,34.4660606384,22.9885063171,161.618133545,0.131444439292,-4.97986841202,-3.29818544742e-06,0.00173836340996795,-0.103280998766
30,233.75,16.6379165649,-4373,36.6437568665,21.0011806488,133.853973389,0.132444441319,-5.28569936752,-4.61509262095e-06,0.00173836340996795,-0.103280998766
30,234,16.6490001678,-4412.5,60.9841918945,24.9446144104,158.215087891,0.127749994397,-5.32785654068,-1.45567511822e-07,0.0002500192706594,-0.0917683020234
30,234.25,16.7525005341,-4394.75,68.104095459,44.1376495361,201.409729004,0.120333328843,-5.56700944901,-5.33172794803e-07,0.0002500192706594,-0.0917683020234
30,234.5,16.7799987793,-4311.25,139.474258423,59.4518737793,188.996063232,0.114249996841,-5.3587436676,3.36765583597e-06,0.000491809574029993,-0.0422337986529
30,234.75,16.8633346558,-4322,402.1199646,86.0745620728,162.683746338,0.116750001907,-5.41785287857,-4.17817034304e-07,0.000491809574029993,-0.0422337986529
30,235,16.8250007629,-4336.75,218.769104004,44.7555923462,172.059143066,0.117500007153,-5.51216125488,-3.04646687255e-06,0.00204720574107784,-0.00418878020719
30,235.25,16.8999996185,-4384.5,210.716873169,45.9700622559,185.854660034,0.112750001252,-5.64476442337,-4.17817034304e-07,0.00204720574107784,-0.00418878020719
30,235.5,17.1133327484,-4315,589.270263672,102.802947998,170.781646729,0.112500011921,-5.46574068069,-2.19298749471e-06,0.00117950854597309,0.0124262999743
30,235.75,17.1299991608,-4359,312.340454102,74.0197067261,173.544296265,0.118666656315,-5.2898182869,-7.25725442408e-07,0.00117950854597309,0.0124262999743
30,236,16.9637508392,-4333,692.762756348,79.7727661133,159.473571777,0.133571431041,-4.62929296494,5.10248582941e-06,0.000775767162179087,0.00537069002166
30,236.25,16.4714298248,-4375,323.469207764,75.1317367554,142.818511963,0.164714291692,-4.67877674103,1.57579052029e-07,0.000775767162179087,0.00537069002166
30,236.5,16.0629997253,-4296,127.218963623,46.6413497925,210.312591553,0.231000006199,-4.6693482399,1.78676131668e-07,0.00126485895809597,-0.0169952996075
30,236.75,15.8489990234,-4287,79.3372421265,41.9399795532,181.383865356,0.263399988413,-4.62990665436,1.32469278924e-06,0.00126485895809597,-0.0169952996075
30,237,15.9825000763,-4250.75,138.039047241,52.413433075,208.268157959,0.256833344698,-4.79002809525,-2.21078289542e-06,0.000980477575192869,-0.0297536998987
30,237.25,16.248998642,-4245,174.000457764,48.4475784302,175.798141479,0.237749993801,-4.63752365112,-2.97384394798e-06,0.000980477575192869,-0.0297536998987
30,237.5,16.3169994354,-4269.75,75.2813720703,22.3813667297,166.353134155,0.211625009775,-4.47915363312,-1.50376718011e-06,0.000655305469307933,-0.0269709005952
30,237.75,16.4109992981,-4233,46.7416534424,17.0196380615,235.47454834,0.189875006676,-4.74182319641,-6.6468572868e-07,0.000655305469307933,-0.0269709005952
30,238,16.5049991608,-4173,63.0185470581,23.6601409912,225.747146606,0.207666665316,-4.78955888748,-1.50376718011e-06,0.000856861043291847,-0.0188512001187
30,238.25,15.8816671371,-4112.125,82.5600967407,35.8681221008,186.796600342,0.24849998951,-5.06017446518,1.80210079748e-07,0.000856861043291847,-0.0188512001187
30,238.5,15.7038879395,-4029.5,83.5612487793,24.7914180756,231.43208313,0.261699974537,-4.95534038544,4.6582144364e-07,0.000618139313828509,-0.0152628999203
30,238.75,15.7290010452,-3945,41.6231384277,19.116985321,193.533111572,0.263300001621,-5.05802679062,-1.71061316223e-07,0.000618139313828509,-0.0152628999203
30,239,15.9349994659,-3988.5,254.862289429,28.8801612854,162.682373047,0.224571436644,-4.80574941635,-5.20421451711e-07,0.000544315355557613,-0.0301005002111
30,239.25,16.3120002747,-4038.25,246.545761108,28.1909599304,169.876602173,0.182571426034,-4.72198820114,-3.02768034999e-06,0.000544315355557613,-0.0301005002111
30,239.5,16.3474998474,-3862,313.651367188,67.8504257202,238.579528809,0.175125017762,-4.92305755615,-2.15657246372e-06,0.000187320966775176,-0.0360440015793
